month,mean_maxt,mean_mint,sum_pcpn,sum_snow
2020-01,33.3,-2.8,0.14,2.3
2020-02,45.6,12.5,0.12,1.1
2020-03,56.4,20.6,0.22,0.3
2020-04,63.5,26.8,0.09,0.0
2020-05,75.7,36.3,0.23,0.0
2020-06,81.6,41.9,0.17,T
2020-07,84.7,46.5,1.58,0.0
2020-08,86.5,44.3,0.33,0.0
2020-09,75.0,34.3,1.53,15.3
2020-10,67.4,22.8,1.03,9.3
2020-11,51.9,15.9,0.33,2.0
2020-12,36.2,-1.5,0.36,4.9
2021-01,36.6,0.9,0.23,3.8
2021-02,41.3,9.8,0.28,4.5
2021-03,51.8,16.7,0.26,5.6
2021-04,62.6,22.2,0.21,2.1
2021-05,71.2,33.1,1.79,1.0
2021-06,82.2,43.8,0.89,0.0
2021-07,85.5,50.0,1.14,0.0
2021-08,84.2,45.1,0.10,0.0
2021-09,79.8,36.9,0.32,0.0
2021-10,63.0,22.4,0.36,T
2021-11,57.7,12.4,0.05,0.3
2021-12,45.6,6.5,0.03,0.5
2022-01,40.4,-2.4,0.34,4.9
2022-02,40.2,0.7,0.36,6.4
2022-03,52.6,12.7,0.44,5.7
2022-04,63.0,23.0,0.44,1.5
2022-05,73.4,33.3,0.39,0.2
2022-06,81.1,43.3,1.27,0.0
2022-07,83.4,50.5,1.62,0.0
2022-08,80.6,48.4,3.80,0.0
2022-09,78.7,41.0,0.53,0.0
2022-10,61.9,24.5,0.42,0.0
2022-11,45.7,8.6,0.34,4.6
2022-12,42.3,4.6,0.02,0.3
